sample_index,alpha,gamma,max_prey
1,0.9868117455797268,0.1534989214911332,54.41624023288205
2,0.4387140468052751,0.3321307676571214,79.0916525134612
3,1.0547892385294677,0.1877223140638137,69.79318893201537
4,0.7857762108989599,0.2036028172072508,49.410480795612564
5,0.3181778857502855,0.3486759453872528,90.4908959929078
6,0.7461002166763535,0.1253835121857063,28.324119592120784
7,0.8574321292243512,0.2657367613569637,73.891850342218
8,0.5602991900940422,0.2155169507388671,40.46597730776105
9,0.6214955973489129,0.2517169190720674,53.65425691746448
10,1.1780756096970384,0.1651840060360917,76.95640928581018
11,1.2066290408851608,0.3248597396368524,129.80730661239895
12,0.392343856167468,0.2448678448501724,51.328705136879144
13,1.468234944913773,0.1770312450265584,114.54210100742993
14,1.4363411190285529,0.3021910803328352,150.86771058781483
15,0.4861024964891673,0.2922119162196039,64.44349001345864
16,1.1035482736153686,0.1175030341935589,57.659156714572454
17,0.9380829997540814,0.1025591133779339,39.256303259958436
18,1.2714524025204914,0.2867582739398352,124.54556591770196
19,0.7097194714945123,0.2289744624438802,51.221040783007055
20,1.342256090037267,0.1433515375481228,89.89616503950612
