sample_index,alpha,delta,max_prey
1,0.9295747434552466,0.062621290431122,12.716755196073086
2,1.0271535383303656,0.0479170118972385,15.306324000324704
3,1.3799621272173646,0.0703935233824138,18.251936010108075
4,1.3235776708837863,0.0194838991413554,41.07546691489192
5,0.5338262077046425,0.0588542090515714,10.021420138132322
6,0.5621083300843497,0.0524199613137287,10.086714210387624
7,0.6258661525620144,0.0542772974479634,10.331232045973275
8,0.812034729952003,0.0179578583846903,17.73320740433398
9,0.9683220491796352,0.0775496197054316,12.487606323164982
10,1.0600938199554035,0.0237650745848523,23.533521155641978
11,1.00833862007339,0.0698116119420235,13.224998421935801
12,0.3132721962031519,0.0895632709075829,10.0
13,0.6940119008335817,0.0917786205877258,10.415823160612101
14,0.9383315664372696,0.0051479934026799,80.1790534678394
15,0.7622113065363713,0.0275613031157374,13.133682811323421
16,0.8605141952346629,0.0829436809668919,11.44665232701217
17,0.3547546057666573,0.0407869418505431,10.0
18,0.4877949607644403,0.0373629571910296,10.0
19,1.1832059226489986,0.0066476613109736,94.46669934923598
20,0.7858648616248953,0.0450306821762361,11.932735586383515
21,0.3994640895343541,0.0485233476394165,10.0
22,1.1207931667784403,0.0116606525605659,47.75722250611743
23,0.4585033089342322,0.0282745400901528,10.0
24,1.24005044966795,0.0939872061590118,14.472719614305412
25,1.399748103835335,0.064982151756478,19.321817163200038
26,0.73532994967374,0.0146496816318467,16.846449055269957
27,1.4514955860265688,0.0738146584676842,18.89770683591031
28,1.0969788696072844,0.0777932604399382,13.794335603220837
29,0.6782675330403726,0.0990295155268008,10.321685544826304
30,1.2184907551384574,0.0972599731536342,14.100573578871066
31,1.3095504156004882,0.022250016785457,36.024137497018344
32,0.4311857953381752,0.0022363059637896,125.16419850251138
33,0.6488142168703825,0.0810251915560373,10.284064127655938
34,1.2792881909630522,0.0868668110562304,15.337944763383945
35,0.5975828589333793,0.0402421700365118,10.294702108053688
36,0.8889852882676716,0.032213823624043,15.080983011509389
37,1.4269811394110778,0.0562431030140368,21.481161789762616
38,0.3795233623744442,0.0345149255608093,10.0
39,1.1668146265068364,0.0094096020717846,64.03227755285862
40,1.4836658479734692,0.0670755207513621,20.466997994233207
