sample_index,alpha,gamma,max_prey
1,0.7979882910392149,0.2342971944470873,58.941787287245255
2,0.9641261365551732,0.1265052886489044,46.267774194343076
3,1.4005918746187411,0.1462444751297913,97.56016917742508
4,0.9263969254581788,0.1869144883953841,56.97431625557435
5,1.4965995251174633,0.1123942914275323,100.37370800362861
6,0.438301707638389,0.239219453611285,47.76673400601287
7,0.5286076168958085,0.1246962284961099,15.69991974380462
8,1.3465824263047077,0.1602833656632175,94.94293772903647
9,1.0901077890003952,0.3496510733567826,129.99794326034754
10,0.3935939958292891,0.2703245482489982,59.42447301254613
11,0.7277344093787178,0.250018007225894,58.72682412319351
12,0.8889573692518671,0.285863509552861,83.28378643599295
13,0.5782032196727185,0.3107533580886484,71.87745749212816
14,1.2931908165238304,0.1960837277138614,99.27328981257459
15,1.2268807099196568,0.320119152786024,130.62796919866324
16,0.3054116751820988,0.2222470423640615,50.34023865470396
17,1.1466710658913852,0.20175479792992,83.90401811562623
18,0.6115185720418521,0.296293901805476,67.93358717956002
19,1.0389301675921403,0.3286575592786176,112.62188480758759
20,0.6659977419034205,0.1709161280220634,32.800202075090134
