sample_index,alpha,gamma,max_prey
1,0.3462967673545835,0.1288732977016105,20.5486547851849
2,0.9706663312252988,0.2028905152524555,65.44223139241431
3,1.4898981958933282,0.239933086186235,136.67051964246582
4,0.8429877578501286,0.1936257619133738,51.33315669512644
5,1.2330767336520647,0.2668071204143051,113.75522869735858
6,0.690432590691286,0.1210815184791392,23.704100092590153
7,0.4460269311184857,0.1622968208243659,25.507375659127913
8,1.055019358223726,0.3015314293051131,104.80348889785864
9,0.574854315890809,0.3332761370614029,79.67177097431255
10,1.3019641788552845,0.2916413797827287,129.020897965907
