x,t_0.00,t_0.14,t_0.28,t_0.43,t_0.57,t_0.71,t_0.86,t_1.00
0.0,0.018315638888734224,1.0000000000000022,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018
0.00390625,0.021380502317861632,0.9557193193152361,0.9557193203881102,0.95571932038811,0.95571932038811,0.95571932038811,0.95571932038811,0.95571932038811
0.0078125,0.024882176982932384,0.9070703721245863,0.9070703776558365,0.9070703776558364,0.9070703776558364,0.9070703776558364,0.9070703776558364,0.9070703776558364
0.01171875,0.028869115874148858,0.8539021934140509,0.8539022141002952,0.8539022141002957,0.8539022141002957,0.8539022141002957,0.8539022141002957,0.8539022141002957
0.015625,0.033392830340714115,0.7961108666790782,0.7961109331965395,0.7961109331965421,0.7961109331965421,0.7961109331965421,0.7961109331965421,0.7961109331965421
0.01953125,0.03850770327429002,0.7336501979541862,0.7336503919362861,0.7336503919362943,0.7336503919362943,0.7336503919362943,0.7336503919362943,0.7336503919362943
0.0234375,0.04427072566265884,0.6665430534446379,0.6665435789024774,0.6665435789025013,0.6665435789025013,0.6665435789025013,0.6665435789025013,0.6665435789025013
0.02734375,0.05074114970048229,0.5948931901784575,0.5948945294279356,0.5948945294280048,0.5948945294280048,0.5948945294280048,0.5948945294280048,0.5948945294280048
0.03125,0.05798005250025453,0.5188973543242905,0.5189005912898026,0.5189005912899914,0.5189005912899914,0.5189005912899914,0.5189005912899914,0.5189005912899914
0.03515625,0.06604980558921517,0.4388573578610726,0.4388648160013147,0.4388648160018148,0.4388648160018148,0.4388648160018148,0.4388648160018148,0.4388648160018148
0.0390625,0.07501344681686395,0.355191771200281,0.35520821304688593,0.3552082130481698,0.3552082130481698,0.3552082130481698,0.3552082130481698,0.3552082130481698
0.04296875,0.08493395303433351,0.26844678995466864,0.2684815686859845,0.26848156868919415,0.26848156868919415,0.26848156868919415,0.26848156868919415,0.26848156868919415
0.046875,0.095873413933313,0.1793057558923557,0.1793764986708511,0.179376498678676,0.179376498678676,0.179376498678676,0.179376498678676,0.179376498678676
0.05078125,0.10789210973002326,0.08859674948927382,0.0887353769137095,0.08873537693234188,0.08873537693234188,0.08873537693234188,0.08873537693234188,0.08873537693234188
0.0546875,0.12104749791909945,-0.002702353771102776,-0.0024402386286742263,-0.002440238585291366,-0.002440238585291366,-0.002440238585291366,-0.002440238585291366,-0.002440238585291366
0.05859375,0.13539311706148047,-0.09346193123048366,-0.09298307425677904,-0.09298307415791672,-0.09298307415791672,-0.09298307415791672,-0.09298307415791672,-0.09298307415791672
0.0625,0.15097741845591486,-0.18240219879519093,-0.18155589751840104,-0.18155589729773727,-0.18155589729773727,-0.18155589729773727,-0.18155589729773727,-0.18155589729773727
0.06640625,0.16784253951023084,-0.26809851903633297,-0.2666499495816267,-0.2666499490989101,-0.2666499490989101,-0.2666499490989101,-0.2666499490989101,-0.2666499490989101
0.0703125,0.18602303560010305,-0.34899024982160376,-0.34658641985445815,-0.34658641881896307,-0.3465864188189631,-0.3465864188189631,-0.3465864188189631,-0.3465864188189631
0.07421875,0.20554459009426876,-0.4233924972088324,-0.41952129702641494,-0.419521294847188,-0.4195212948471879,-0.4195212948471879,-0.4195212948471879,-0.4195212948471879
0.078125,0.22642272494309826,-0.4895096596280059,-0.4834538846777221,-0.4834538801764338,-0.48345388017643354,-0.48345388017643354,-0.48345388017643354,-0.48345388017643354
0.08203125,0.24866153667408905,-0.5454492516518903,-0.5362392101572244,-0.5362392010284199,-0.5362392010284189,-0.5362392010284189,-0.5362392010284189,-0.5362392010284189
0.0859375,0.2722524847129612,-0.5892342945100009,-0.5756044829577365,-0.5756044647740408,-0.5756044647740384,-0.5756044647740384,-0.5756044647740384,-0.5756044647740384
0.08984375,0.2971732605533976,-0.6188126692094482,-0.5991696742010588,-0.599169638615132,-0.5991696386151262,-0.5991696386151262,-0.5991696386151262,-0.5991696386151262
0.09375,0.32338676733750543,-0.632062318183625,-0.6044721934859967,-0.6044721250429079,-0.6044721250428952,-0.6044721250428952,-0.6044721250428952,-0.6044721250428952
0.09765625,0.3508402397966636,-0.6267920521558752,-0.5889955351721922,-0.5889954057658157,-0.5889954057657869,-0.5889954057657869,-0.5889954057657869,-0.5889954057657869
0.1015625,0.3794645341647092,-0.600738878787257,-0.5502016555909583,-0.5502014150053146,-0.5502014150052529,-0.5502014150052529,-0.5502014150052529,-0.5502014150052529
0.10546875,0.40917361655463413,-0.5515640384823347,-0.4855667285694907,-0.48556628864352264,-0.4855662886433924,-0.4855662886433924,-0.4855662886433924,-0.4855662886433924
0.109375,0.43986427634788366,-0.47685106863084803,-0.3926198122967398,-0.3926190209099039,-0.3926190209096333,-0.3926190209096333,-0.3926190209096333,-0.3926190209096333
0.11328125,0.47141608836639975,-0.37410996493417836,-0.26898384952120113,-0.2689824486535123,-0.2689824486529566,-0.2689824486529566,-0.2689824486529566,-0.2689824486529566
0.1171875,0.5036916439913185,-0.24079165587947057,-0.11241831911932454,-0.11241587849436209,-0.11241587849323548,-0.11241587849323548,-0.11241587849323548,-0.11241587849323548
