n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed,problem,qoi,sampler,seed,n
2000,0.10242688647122647,427,0.10242688647122647,427,0.008936520604251636,0.008936520604251636,0.000269672877618907,0.01642171969127798,0.7459034280990878,0.6608237528880827,0.1,4398880.386207236,False,Heat-AMICon,q,Random,0,5
2000,0.23254994667441795,388,0.23254994667441795,388,0.017225776252403874,0.017225776252403874,0.001421096876614897,0.03769743859488197,0.5233876630535247,1.5169764991037482,2.8063908011496896,172.43004551773987,False,Heat-AMICon,q,Random,0,10
2000,0.1895742155863802,803,0.1895742155863802,803,0.013016563802077857,0.013016563802077857,0.0007988969902421032,0.028264765879838862,0.5222111953707779,1.13739784957714,2.3065504755640527,208250.4540439754,False,Heat-AMICon,q,Random,0,15
2000,0.12423240575800767,1159,0.12423240575800767,1159,0.006643148235351103,0.006643148235351103,0.00022344933937380108,0.014948221946900611,0.7571056984878572,0.6015289696609187,0.1,4.774197497423198e+17,False,Heat-AMICon,q,Random,0,20
2000,0.08919566425966383,388,0.08919566425966383,388,0.004685681278098903,0.004685681278098903,0.00014799401983800684,0.01216527927496968,0.7943150915309294,0.48954102594302984,0.324422607917163,1.331571493430404e+19,False,Heat-AMICon,q,Random,0,30
2000,0.07184716315605,1917,0.07184716315605,1917,0.0030907164608091242,0.0030907164608091242,7.627804620981712e-05,0.008733730371944002,0.8779955313998715,0.35145262430499546,0.48026560105467186,2.0804960599895846e+18,False,Heat-AMICon,q,Random,0,40
2000,0.06303837905583975,460,0.06303837905583975,460,0.001702026844036805,0.001702026844036805,2.8263976323109327e-05,0.005316387525670916,0.9600747441227991,0.21393588628767035,0.7109709432312434,3.473151090071036e+19,False,Heat-AMICon,q,Random,0,60
2000,0.04809299549935803,1159,0.04809299549935803,1159,0.0013376732739563961,0.0013376732739563961,1.6425730740271684e-05,0.004052866977865383,0.9763684958021949,0.16309076129777475,0.5843414133735175,3.2036351005321142e+19,False,Heat-AMICon,q,Random,0,80
2000,0.04662396304978368,1346,0.04662396304978368,1346,0.0009992707357708228,0.0009992707357708228,1.0642184445191197e-05,0.0032622361111959994,0.9849204127511685,0.13127511310234757,1.0525002852777328,3.200358926281388e+18,False,Heat-AMICon,q,Random,0,100
2000,0.06772945036188605,1159,0.06772945036188605,1159,0.000888642455234711,0.000888642455234711,1.2076277524428142e-05,0.003475093887138611,0.9829360344242202,0.13984068826586205,1.0525002852777328,1.1057492717884574e+19,False,Heat-AMICon,q,Random,0,120
