n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,surrogate,sampler,problem,qoi,n,seed,fit_time_s,failed
500,0.29730027179693214,1,1687.4110761915354,1,114.03555625931048,0.0345035778308923,48921.75427300514,221.18262651710495,0.9132142765977774,0.2986591489934944,RBF,LHS,rd_2d,J,10,0,0.003946942000766285,False
500,0.14772489584750248,1,838.4540786850666,1,72.08502735689989,0.024856860266917954,13603.652098401915,116.63469508856237,0.9767728024122674,0.15748985047689484,Kriging,LHS,rd_2d,J,10,0,1.6502674789953744,False
500,0.18316721635964422,372,501.68219990526495,372,101.00768497559719,0.03574422329813281,17080.264889644288,130.69148744139494,0.9721915521826351,0.176470498766423,RBF,LHS,rd_2d,J,10,1,0.002614157012430951,False
500,0.08669459266614564,134,480.9923954335227,1,79.6357402602705,0.028543219605156385,11141.663716672048,105.55407958327356,0.9815079496445436,0.14252788330413524,Kriging,LHS,rd_2d,J,10,1,0.41121370799373835,False
500,0.2879694020747565,13,730.424610568326,1,122.42228989572378,0.045347367182649236,28877.056622923632,169.9325060808662,0.9531751532278797,0.2294569806481544,RBF,LHS,rd_2d,J,10,2,0.0025544219970470294,False
500,0.14950973365944323,460,697.1696617804623,460,103.96003585241648,0.03551389864229322,22339.679923498123,149.46464439290693,0.9639811695446702,0.20181957417685667,Kriging,LHS,rd_2d,J,10,2,0.38065193500369787,False
500,0.2499599075846545,372,684.6227115171396,372,83.13991717458168,0.030250541080637215,11867.4670727937,108.9379046649682,0.9793941661826006,0.14709700491714586,RBF,LHS,rd_2d,J,10,3,0.0026508549926802516,False
500,0.12223786769573496,372,447.9770689148172,1,77.53932041897457,0.02727303968163202,11058.663637693153,105.16018085612612,0.9802896869433213,0.14199600853398742,Kriging,LHS,rd_2d,J,10,3,1.143665896001039,False
500,0.151344682599524,1,858.9991936353299,1,117.78544812213583,0.041018682226403355,24935.984651181177,157.9113189457335,0.9551023648344895,0.21322497555713688,RBF,LHS,rd_2d,J,10,4,0.00259630499931518,False
500,0.12433433053298329,5,681.538665226597,1,98.10974605696794,0.0341328436400497,18724.487021096156,136.83744743708192,0.9663380119325089,0.1847692843038033,Kriging,LHS,rd_2d,J,10,4,0.7914161219960079,False
500,0.18752850745294308,13,452.88495097659415,372,107.17349827337719,0.037163626519127434,20250.10285002158,142.30285608525776,0.9674624295858151,0.19214913289982152,RBF,LHS,rd_2d,J,10,5,0.002895735000493005,False
