n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed,problem,qoi,sampler,seed,n
2000,0.6917001897406372,1871,0.6917001897406372,1871,0.07128717242840828,0.071084724957688,0.017634839144291505,0.13279623166449983,0.8388980050353143,0.9814698105091673,0.1,4398880.386207236,False,AdvDiff-AMICon,q,Random,0,5
2000,0.3993344858363922,201,0.3993344858363922,201,0.024794217929423337,0.024618120754629005,0.0032397606668105104,0.05691889551643207,0.9413078197925336,0.42067592503709383,0.1801173528334133,12397384803.072227,False,AdvDiff-AMICon,q,Random,0,10
2000,0.7093754852810176,201,0.7786253080749206,1159,0.042379686982823454,0.041981083392055835,0.008392304616824671,0.09160952252263228,0.7743728470691886,0.6770672599978543,0.12167046985882254,5.221164176980365e+16,False,AdvDiff-AMICon,q,Random,0,15
2000,0.5210736795161243,201,0.6315447562922571,1159,0.011682183328738653,0.011350885978237683,0.0018535274908605178,0.04305261305496471,0.9252245857418654,0.31819306502412315,0.48026560105467186,4855066452728.272,False,AdvDiff-AMICon,q,Random,0,20
2000,0.20351552775657267,328,0.3658295396110147,1159,0.009551825888929997,0.00937428039358658,0.0006478590359367837,0.025453075176425807,0.9664325271306101,0.1881184771371827,1.2805820423628653,341679707317.27356,False,AdvDiff-AMICon,q,Random,0,30
2000,0.24125975250699938,201,0.40708691755187143,1159,0.005218888002880078,0.004981940255214712,0.00031980905972939656,0.017883206080828922,0.9825498337774089,0.13217112160073174,0.2666403838939712,6.174042110745151e+19,False,AdvDiff-AMICon,q,Random,0,40
2000,0.1760767513869823,201,0.24142801968259553,1848,0.00295580672807377,0.0028148359428758194,0.00015317642376164718,0.012376446330091977,0.9917272162627481,0.09147178562311205,0.7109709432312434,3.473151090071036e+19,False,AdvDiff-AMICon,q,Random,0,60
2000,0.19168849363050833,1848,0.26814549501555485,1848,0.0017879378055160467,0.0016188450518513232,0.0001495018999982402,0.01222709695709657,0.991834776386384,0.09036797492776194,0.8650416871891565,5.776217821420516e+18,False,AdvDiff-AMICon,q,Random,0,80
2000,0.1849059152274163,1848,0.2586576128326805,1848,0.001416831133340938,0.0012644586274530082,0.000119778668222112,0.010944344120234524,0.9934576347018756,0.08088741084891202,1.2805820423628653,2.680300264047064e+18,False,AdvDiff-AMICon,q,Random,0,100
2000,0.1722823909668014,1848,0.3363547535345266,1159,0.0011498661257610726,0.0009638971756659912,0.00015432345075861193,0.012422699012638596,0.9915756339151154,0.09181362974779518,1.8957356524063753,4.337727564245422e+17,False,AdvDiff-AMICon,q,Random,0,120
2000,0.8761082291539243,1159,1.8409971685061308,1159,0.024295650829899464,0.022631248382761995,0.01168815647365922,0.10811177768244873,0.5412181881818718,0.7990320555471602,0.7109709432312434,266.64069046976823,False,AdvDiff-AMICon,q,Random,1,5
2000,0.7698017893964834,1159,1.6176116916040164,1159,0.015732544255334092,0.014341451626824594,0.006364919023342825,0.07978044261185084,0.7549607300241948,0.5896409477221867,1.2805820423628653,856845.3603367476,False,AdvDiff-AMICon,q,Random,1,10
2000,0.751885303945375,1159,1.5799631478653904,1159,0.011226986416473335,0.00987674971701777,0.005776692246820046,0.07600455411894767,0.7767273609892665,0.5617341274970755,1.5580901878706048,1155507.2220628436,False,AdvDiff-AMICon,q,Random,1,15
2000,0.643759446343329,1159,1.352754463979497,1159,0.008489556504297956,0.007363775457177263,0.003756314173116192,0.06128877689362215,0.8709664931182759,0.45297282528388627,0.1801173528334133,2.4305157368090616e+16,False,AdvDiff-AMICon,q,Random,1,20
2000,0.550065777426401,1159,1.1558726479627792,1159,0.005282017294016079,0.004364385835645502,0.0022412700241760957,0.04734205344274893,0.91826192920686,0.3498954423568256,1.2805820423628653,2611483887.0691867,False,AdvDiff-AMICon,q,Random,1,30
2000,0.4438821128036809,1159,0.9327451627880137,1159,0.0037297993966084178,0.0030011690893374256,0.0013610104686759964,0.03689187537488432,0.9504497573325499,0.27266031181512074,1.2805820423628653,432893588089.8775,False,AdvDiff-AMICon,q,Random,1,40
2000,0.32506116829768955,1159,0.6830625150105758,1159,0.0032081789025449367,0.002681475924128852,0.0007801346126322922,0.027930889936274714,0.9636463169150927,0.20643149967060628,1.8957356524063753,2774171970864.7227,False,AdvDiff-AMICon,q,Random,1,60
2000,0.5581509941745214,1159,1.1728623995079994,1159,0.004331352509338395,0.0034174548509928126,0.0021595204950859304,0.04647064121664269,0.9223667896938262,0.3434550126720991,2.8063908011496896,84934715811.67691,False,AdvDiff-AMICon,q,Random,1,80
2000,0.3879101708327145,1159,0.8151293440393981,1159,0.0024088234653716345,0.001813160574180001,0.0008731470734560969,0.029549062141734667,0.9695179246882841,0.2183910797577613,2.3065504755640527,2650001368384901.5,False,AdvDiff-AMICon,q,Random,1,100
2000,0.4179265939056869,1159,0.8782039141063751,1159,0.0027599883969561733,0.002121336401316254,0.00101549854896258,0.031866887971099093,0.9650304542979926,0.2355216568006918,1.2805820423628653,2.7419885067003843e+19,False,AdvDiff-AMICon,q,Random,1,120
2000,0.7415090939213026,1159,1.5581592512251432,1159,0.02182052024983445,0.020498414624918117,0.005754241068893922,0.07585671406602004,0.7484410818060225,0.5606414718779076,1.0525002852777328,332.85841983970295,False,AdvDiff-AMICon,q,Random,2,5
2000,0.6118009981342942,1159,1.2855990478963706,1159,0.011096932221044546,0.010049323033313485,0.003163115023219981,0.056241577353591185,0.8685189790936366,0.41567000490965117,0.12167046985882254,1993638002563.7363,False,AdvDiff-AMICon,q,Random,2,10
2000,0.4775549496294415,1159,1.0035030842284514,1159,0.014150843488941384,0.013361067444977589,0.002220279561658475,0.04711984254704672,0.8847036392280865,0.3482531270368479,0.1,3.265685172019029e+17,False,AdvDiff-AMICon,q,Random,2,15
