problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
RD-4D,J,Random,0,10,256,0.7012840341175122,240,3950.216742067538,15,477.9071576697313,0.1154422618022897,615563.0629532518,784.5782707628678,0.970213385979769,0.2525883094674769,0.5843414133735175,2133.1131276532265,False
RD-4D,J,Random,0,20,256,0.5186226873166644,240,4749.753578252732,15,407.6543562279771,0.0938502401491332,546777.3517280639,739.4439476580114,0.9667499731096182,0.2380576975491407,0.5843414133735175,90774.32641869824,False
RD-4D,J,Random,0,30,256,0.8423890078166599,0,4113.459704702675,255,414.1697569933364,0.1025437090286079,547128.3415786051,739.6812432248131,0.944389106816675,0.2381340928411034,0.1216704698588225,19167319700.365734,False
RD-4D,J,Random,0,40,256,1.2594927739670485,240,5156.793599423814,15,446.55068781425183,0.1099773753067341,755553.7301536752,869.2259373452193,0.9513935868177964,0.279839906661997,1.0525002852777328,99871.11262592308,False
RD-4D,J,Random,0,50,256,0.2820446898313208,19,1625.7667022628557,223,222.68521351255689,0.0573701683965854,138347.29058861433,371.9506561206934,0.9876954179926551,0.1197463541062565,0.1,55279561159693.12,False
RD-4D,J,Random,0,60,256,0.2521920654450177,19,1582.435568484079,15,204.5659789227993,0.0545698828200476,107284.07879792356,327.5424839588348,0.9903736551487308,0.1054495203155399,0.1,308220203232881.06,False
RD-4D,J,Random,0,70,256,0.2399709825997825,194,1803.529699773555,15,211.5091408930225,0.0541399973583202,121241.06409177573,348.19687547675625,0.9878831409004368,0.1120990262106223,0.1,1.0406464394751054e+16,False
RD-4D,J,Random,0,80,256,0.1961450098325874,194,1292.300153197536,13,181.54556440771023,0.0463023929281293,80822.73586577864,284.2933975064821,0.9917056874756996,0.0915258443228431,0.1,5.336141646036909e+16,False
RD-4D,J,Random,0,90,256,0.2052150438671644,194,1434.93709048467,13,179.9195690388011,0.0461648556184172,85006.92626293968,291.55947294323965,0.9917692260009344,0.0938650955861355,0.1,1.9049466081275792e+17,False
RD-4D,J,Random,0,100,256,0.2574245814414592,0,972.6518617429064,11,162.6416007422533,0.0436548147707166,58444.43160958651,241.7528316475042,0.9941705000457756,0.0778302705164705,0.1,7.625065110944082e+17,False
RD-4D,J,Random,0,110,256,0.2426145821150563,0,1379.7397135218234,15,160.99816613140914,0.0438552631388047,68192.40942660056,261.1367638357352,0.9941027160586512,0.0840707628226069,0.1,7.109686670653347e+18,False
RD-4D,J,Random,0,120,256,0.3257010328319555,0,1778.425796792766,15,171.02769432229698,0.0462720559628659,81303.83867727454,285.1382799226974,0.9931817599527528,0.0917978470396697,0.1,1.7049396999356815e+19,False
RD-4D,J,Random,0,130,256,0.3076656585891419,0,1588.9826482307635,15,173.80389568424462,0.04524517892749,80282.27496027891,283.3412694266032,0.992999623290326,0.0912193147756263,0.1,4.338492943367381e+18,False
RD-4D,J,Random,0,140,256,0.2536187082438767,0,1132.7556279554956,207,166.37480675255236,0.0426038372504843,71234.88477514643,266.8986413887235,0.9929395749956988,0.0859257503550207,0.1,3.784784476465311e+18,False
RD-4D,J,Random,0,150,256,0.2838108155066383,0,1163.2887363743266,11,163.7771427155497,0.04266780572089,65983.85259594023,256.87322280833445,0.9932721416262906,0.0826981520065958,0.1,2.461504431465799e+18,False
RD-4D,J,LHS,0,10,256,0.9735271294546238,240,4173.253543207933,255,553.8147903873812,0.1511302338274066,813530.3708502329,901.9591846919864,0.9442876901746634,0.2903780975841869,0.5843414133735175,1001.2468473438146,False
RD-4D,J,LHS,0,20,256,0.3369472523265841,206,1911.6656148361567,206,276.5040197605369,0.068528628073748,185726.5257244773,430.9600047852206,0.9825432074272326,0.1387439126385075,0.1801173528334133,60560925.88291948,False
RD-4D,J,LHS,0,30,256,0.8630861180875813,204,3678.119607643565,12,369.4631733366372,0.0981520968394787,379406.8244491117,615.9600834868374,0.9677945543672036,0.1983031164451026,0.1,23317159347.999954,False
RD-4D,J,LHS,0,40,256,0.461426662973234,252,3680.393543323304,15,265.36434613116387,0.0648960403695117,234169.36838488217,483.9104962540926,0.9796137243960988,0.155790873565159,0.1,4011614005746.657,False
RD-4D,J,LHS,0,50,256,0.4808345383692745,255,5363.4134234547255,15,365.25118529740826,0.0778268386555052,558794.5603117197,747.5256251873374,0.9690674419097368,0.2406595249777908,1.0525002852777328,54779.173537781615,False
RD-4D,J,LHS,0,60,256,0.2237404343305087,255,2248.9699640581885,255,184.5778633716044,0.0397391958531082,127250.07476931004,356.721284435496,0.9875609320503218,0.1148433872620747,0.1,125630698917208.8,False
RD-4D,J,LHS,0,70,256,0.2549551996934073,195,1954.3179359505648,223,185.13372997977507,0.0460998074406565,101765.27432592746,319.0066995000692,0.9907942255784936,0.1027014970184864,0.1,1.0942946667671902e+16,False
RD-4D,J,LHS,0,80,256,0.4050193360031719,192,4001.75706392702,15,276.0772017437671,0.0651039563555274,283122.77995830786,532.0928302075756,0.97532974678578,0.171302766684088,0.1216704698588225,2867191586202024.0,False
RD-4D,J,LHS,0,90,256,0.284924017410688,192,2638.730556665312,255,190.90216026734677,0.0424622248475384,146171.0973188007,382.32328900918486,0.988051014946864,0.1230857351516725,0.1,7.367621223835435e+16,False
RD-4D,J,LHS,0,100,256,0.1415775029888854,48,1420.8437209565782,63,145.76172408520466,0.0335769155300508,60672.34515988471,246.3175697344481,0.9944019619169328,0.0792998491672045,0.1,1.7672142614414678e+17,False
RD-4D,J,LHS,0,110,256,0.1531177361682753,254,1188.631304513552,31,132.89695495023267,0.030608408990468,52439.83699529923,228.99746067434728,0.9948685701136922,0.0737237871854861,0.1,1.242120964514888e+18,False
RD-4D,J,LHS,0,120,256,0.1708516029438923,254,1256.316355970455,11,129.8310047693071,0.0318424904300704,45724.56664689015,213.83303450797808,0.9956164079697768,0.0688417289993944,0.1,9.03256404120782e+18,False
RD-4D,J,LHS,0,130,256,0.1702385539088152,207,1993.1478555103515,207,150.67497593160329,0.0365371844287266,75781.70840087977,275.28477691452497,0.9925915907100624,0.0886255954493383,0.1,8.619763108180196e+18,False
RD-4D,J,LHS,0,140,256,0.1615593316719938,240,1577.4954711814098,207,127.20211510832732,0.0316366921129039,46249.71377773707,215.05746622179169,0.9952772551267624,0.0692359243884023,0.1,3.765427216873e+18,False
RD-4D,J,LHS,0,150,256,0.1163582913858023,252,1306.1563692684776,79,135.77369809061787,0.0310021259821314,59495.54878558971,243.91709408237404,0.994669758904464,0.0785270364224854,0.1,4.384147704331544e+18,False
RD-4D,J,Halton,0,10,256,0.3265333117256278,255,3747.394100651984,15,417.9770920487399,0.0946033187805317,547786.1260297757,740.125750146403,0.96401613333497,0.2382771980685294,0.3947265113810579,20697.85121189742,False
RD-4D,J,Halton,0,20,256,0.5980672912500897,15,10537.797750538575,15,651.7812799842377,0.1033503491659533,2141486.0949725998,1463.3817324856147,0.8941174803910698,0.4711233176961735,0.5843414133735175,40536.440930637975,False
RD-4D,J,Halton,0,30,256,0.4983423128893444,194,4626.179927336662,207,400.9658595544241,0.0935522936557919,568705.241846412,754.1254814992078,0.9515167916635688,0.2427842926531978,0.7109709432312434,217515.1852782757,False
RD-4D,J,Halton,0,40,256,0.3967378514969798,194,5706.833723241763,15,374.4939963668793,0.0867864916170375,508804.6621608477,713.3054480100707,0.9594582258146328,0.2296426296277846,0.8650416871891565,178460.33692238547,False
RD-4D,J,Halton,0,50,256,0.5424455343953206,193,8696.00840840635,15,436.2331270442226,0.0929303764036146,934756.925468296,966.8282812724792,0.9286734447864106,0.3112621521808269,1.0525002852777328,62484.31480312662,False
RD-4D,J,Halton,0,60,256,0.2898391696579565,194,4418.23873768641,15,252.65972980063844,0.0543100560996426,267202.9640483183,516.9167863866662,0.976364315791916,0.1664169682928062,0.1,163001432595899.44,False
RD-4D,J,Halton,0,70,256,0.268970840413893,193,3566.310541159406,15,233.461366475488,0.0494756066474561,206124.11866204135,454.0089411697102,0.983401650896382,0.1461643219122959,0.1,2220122533565932.0,False
RD-4D,J,Halton,0,80,256,0.2438199319660808,193,3880.0570097451873,15,228.76587392623216,0.0450930904808174,228301.3894399104,477.8089465883936,0.9804350455535616,0.1538265314814913,0.1,2.4875326673145976e+16,False
RD-4D,J,Halton,0,90,256,0.2149112214566547,193,3190.5830496373383,15,223.04454857439904,0.0450676203268499,202663.6786039667,450.181828380452,0.982153892274844,0.1449322154602014,0.1,9.220546796202234e+16,False
RD-4D,J,Halton,0,100,256,0.2000570398996538,193,3207.9479062028518,15,200.29717163891343,0.0426366742859905,155448.39034619907,394.26943876770247,0.9855215359357284,0.1269316965867443,0.1,2.15348911566553e+17,False
RD-4D,J,Halton,0,110,256,0.1688654797611226,194,2885.100144629814,15,188.30637515372675,0.0393299606859274,140864.36852262853,375.3190223298421,0.9865855810612454,0.1208307709938272,0.1,5.674858393541807e+17,False
RD-4D,J,Halton,0,120,256,0.1582234933335077,227,1719.4482466341706,11,157.8521615859524,0.0357496404392305,81245.84097512113,285.0365607691777,0.9920924935012476,0.0917650994222739,0.1,2.0313717309561733e+18,False
RD-4D,J,Halton,0,130,256,0.1855183715246707,243,1671.8392086432432,11,158.0121449337139,0.0352722927039308,82686.18712732522,287.55205985582023,0.99231675183032,0.0925749429846558,0.1,6.092348404892767e+18,False
RD-4D,J,Halton,0,140,256,0.1904212118202773,243,1775.1910526422762,15,164.2562563397589,0.0368921748123489,90944.55779127334,301.5701540127493,0.9922560269619638,0.0970879493181244,0.1,4.497627474666799e+18,False
RD-4D,J,Halton,0,150,256,0.1813249832157188,243,1237.9651144831423,207,143.11996054322134,0.0346817558239923,56721.09871992731,238.16191702269973,0.9946423393987764,0.0766742060569749,0.1,3.5250907931163745e+18,False
RD-4D,J,P-greedy,0,10,256,0.4584050273941534,0,2141.386624814392,255,399.2726346139124,0.1093091946360367,327403.4846244652,572.191825024148,0.9684119176828764,0.1842122974339198,0.1,371798.4585852476,False
RD-4D,J,P-greedy,0,20,256,0.1416917985681679,247,1303.8768372298346,255,147.80101816606478,0.0383613187881752,55481.39784456679,235.5448956028697,0.9952946580233611,0.0758316782418313,0.2666403838939712,491116.74321504025,False
RD-4D,J,P-greedy,0,30,256,0.1711596315896882,227,1454.302049921509,239,171.4173933366319,0.0409661904230068,75570.89496701179,274.9016096115332,0.9930800671943486,0.0885022379910547,0.3947265113810579,349442.8066500997,False
