qoi,sampler,tol,n_star_median,n_star_q25,n_star_q75,n_reached,n_censored
f,EIGF,0.05,,,,0,1
f,Halton,0.05,50.0,50.0,50.0,1,0
f,LHS,0.05,60.0,60.0,60.0,1,0
f,MEPE,0.05,45.0,45.0,45.0,1,0
f,P-greedy,0.05,45.0,45.0,45.0,1,0
f,Random,0.05,,,,0,1
f,f-greedy,0.05,,,,0,1
f,β-greedy(β=0.5),0.05,45.0,45.0,45.0,1,0
