problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
Branin,f,Random,0,5,81,102.05014803211583,16,121.54431341449653,16,53.677899313892915,5.4370667511106205,4225.226904001473,65.00174539196215,0.5180510275842094,1.021782146954952,2.3065504755640527,13.622912368515413,False
Branin,f,Random,0,10,81,47.077053231177814,16,104.44458786358211,18,26.729956236252736,2.172695086643632,1310.4891534932606,36.2006789092865,0.7290097428381227,0.5690494492741967,1.8957356524063753,1209.7344306223085,False
Branin,f,Random,0,15,81,36.26064853279303,16,43.18735165867375,16,11.964291430521433,1.6230514412141577,278.1023958884701,16.676402366471915,0.9359639383320738,0.26214142575324395,0.1,2.1985917067953754e+17,False
Branin,f,Random,0,20,81,38.062398100928384,16,91.89839041299044,17,22.811750887282056,1.4957035576984792,1121.9968837803667,33.49622193293397,0.7461940393068509,0.5265372699629854,1.8957356524063753,2719532.8281402225,False
Branin,f,Random,0,25,81,17.22421846919451,16,95.91574761276422,18,20.890495865552506,0.9318018649614954,1127.0776793567063,33.57197759079298,0.7419999345004855,0.527728096121028,2.8063908011496896,3053045.947402336,False
Branin,f,Random,0,30,81,7.862949481309766,74,38.663362628829404,6,8.458150589192124,0.596599512677275,142.1433871764122,11.922390162061138,0.9679732332884601,0.1874116663047607,0.14803703235666651,2.163603594389159e+18,False
Branin,f,Random,0,35,81,5.77904506267699,74,41.434592466819296,8,8.272134217615664,0.5013763791321142,135.2814141978375,11.631053873051982,0.9690472390473261,0.18283206283296724,0.12167046985882254,4.993959992433972e+18,False
Branin,f,Random,0,40,81,5.953048052974534,74,41.82551761944504,8,8.254168107703977,0.5111689707094389,136.76623563123775,11.694709728387352,0.9688974179892307,0.18383268852599471,0.12167046985882254,6.490223676307772e+19,False
Branin,f,Random,0,45,81,2.8106296094510292,8,49.20934503018323,8,3.9151355493103814,0.29389436063260166,68.52291190159991,8.277856721494997,0.9856811049212134,0.1301221399836525,2.3065504755640527,1003117471.2347268,False
Branin,f,Random,0,50,81,2.9508064312315962,73,19.757480265269024,36,1.841201334715036,0.19047079010358361,16.769845425519904,4.095100172830929,0.9962634142056,0.06437212141549963,2.3065504755640527,1567209824.9209993,False
Branin,f,Random,0,55,81,9.25445127118942,73,55.44185475170555,72,4.400703699758602,0.34660789579656437,98.12988492121015,9.906052943590103,0.978556159166856,0.15571625013322396,1.8957356524063753,1174530001654.1733,False
Branin,f,Random,0,60,81,2.1883360230549664,74,23.855677931820992,3,3.1671673939192266,0.1372984451113909,39.13177737180329,6.255539734651462,0.9920725832618847,0.09833272601976262,1.8957356524063753,2918799787354.384,False
Branin,f,LHS,0,5,81,37.334643435571735,16,262.4404082493627,0,45.81645747730497,2.618926138736468,4290.039064740435,65.49838978738664,0.024638020194055553,1.029589050809148,19.952623149688797,1.0000000000001767,False
Branin,f,LHS,0,10,81,6.254194715054972,37,177.86170487150943,0,17.97243271212398,0.683389794145008,990.1901300093833,31.467286664238838,0.8278476324726708,0.4946438212197416,1.5580901878706048,2291.195347424704,False
Branin,f,LHS,0,15,81,13.676676678474314,16,111.7203237824717,0,13.407597927243547,0.6569001181536418,480.685698272797,21.924545565935844,0.894689187132292,0.3446385801533223,0.5843414133735175,76620845.31811291,False
Branin,f,LHS,0,20,81,7.208107968140276,15,40.503794218391704,0,8.484355504742297,0.5314717429765382,133.29425600079313,11.545313161659719,0.9716301457543317,0.1814842785905665,0.12167046985882254,6.6239730549117384e+16,False
Branin,f,LHS,0,25,81,6.474705181853116,15,36.86801142100482,8,8.315612527981742,0.5055611846637381,117.35113893055093,10.832873069068562,0.9740492788888959,0.1702852167346891,0.1,1.0136285937899319e+18,False
Branin,f,LHS,0,30,81,7.4576291833919575,15,39.568371471988655,0,8.13035069864421,0.48147181370472725,125.13160452049856,11.186223872268004,0.9731915195383414,0.17583964516032993,0.1,1.5191496608453944e+18,False
Branin,f,LHS,0,35,81,8.397665560321268,16,24.32790645759917,0,8.178306079651557,0.6059281821283576,103.77148587270251,10.186829039141793,0.9772960507943502,0.16012985472178493,0.1,6.13285758436567e+18,False
Branin,f,LHS,0,40,81,2.3244033529422725,73,104.07555926034601,0,4.6456510891350264,0.14677585724372064,171.8717597784557,13.109987024343528,0.9668279008049339,0.20607986151002233,2.8063908011496896,699332.3766734302,False
Branin,f,LHS,0,45,81,3.309270718774961,16,13.033342761858592,0,1.8467498909043445,0.10226383612341113,11.707786112144479,3.4216642313565018,0.9971576857128457,0.05378617763865056,2.3065504755640527,22628430.27219133,False
Branin,f,LHS,0,50,81,0.8529838207969761,74,30.901198969609368,0,1.5979576895976573,0.07025244103381229,16.455143097018425,4.056493941449737,0.9968391776628728,0.06376525835745948,2.8063908011496896,5624256.630260664,False
Branin,f,LHS,0,55,81,1.1933671267765793,73,37.55452580527873,0,1.8888210268058143,0.07461242017521261,24.51218860985006,4.950978550736214,0.9953491757873756,0.07782593317447624,2.8063908011496896,19475263.29689406,False
Branin,f,LHS,0,60,81,1.3606406194713974,74,10.848045696177053,0,1.0344062321135998,0.05561295611255825,4.367477365710558,2.0898510391199077,0.9990042781447583,0.03285100221065799,2.3065504755640527,2432162256.2765536,False
Branin,f,Halton,0,5,81,7.102013934403315,74,353.97377678502625,0,46.36446680762175,1.2024580333737875,6268.219492512751,79.17208783727224,0.09576701403249242,1.2445300568694793,0.8650416871891565,2341.4465150185124,False
Branin,f,Halton,0,10,81,7.241778746630937,16,52.10023714303225,5,14.402114096011159,0.7599466865750262,388.2573761824195,19.704247668521106,0.923049415522435,0.30973704422040366,0.1,19235108876.16499,False
Branin,f,Halton,0,15,81,24.317799242739284,16,54.375103921719266,17,10.542428185350268,0.991223124937874,210.139331613259,14.496183346428086,0.9492530997227742,0.22786990184724323,0.1,2918575243372556.5,False
Branin,f,Halton,0,20,81,22.636218860084163,16,46.184393383705405,17,9.165935501652452,0.8959893521455418,157.35342290419212,12.544059267405911,0.9621919096364049,0.19718387148670485,0.1,2.004631444455828e+17,False
Branin,f,Halton,0,25,81,20.938698523183763,16,39.99339438866892,17,9.32778188305697,0.8528323172833463,164.64884122154268,12.831556461378435,0.9619499122122515,0.20170312705944973,0.12167046985882254,3.828190816142071e+18,False
Branin,f,Halton,0,30,81,9.827246448268516,16,26.515823509757524,2,8.159962209348263,0.6615307692376629,103.97454313064166,10.196790825090101,0.9770420635426869,0.1602864470559198,0.1,2.509874633300656e+18,False
