*********************************************************
               r                z               ur               uz               tr               tz              err              ett              ezz              erz              srr              stt              szz              srz 
 1.049292196E+00  8.257078041E-01  8.663435472E+01  5.638277183E-02 -9.252215879E-01  1.770689801E+01 -6.785161426E+01  8.256456595E+01  9.217545874E-01 -1.321745126E+00 -7.857581838E+01  1.320068339E+02  1.770689801E+01 -9.252215879E-01 

 1.049292196E+00  8.617921959E-01  8.658432093E+01  7.578259739E-02 -5.344058045E-02  1.804782553E+01 -6.729612226E+01  8.251688258E+01  8.432764035E-01 -7.634368635E-02 -7.734733259E+01  1.323908742E+02  1.804782553E+01 -5.344058045E-02 

 1.075707804E+00  7.632078041E-01  8.495209410E+01  3.967530277E-02 -1.233587800E-01  1.661154514E+01 -6.412485145E+01  7.897320609E+01  4.166419469E-01 -1.762268285E-01 -7.374654562E+01  1.265907349E+02  1.661154514E+01 -1.233587800E-01 

 1.075707804E+00  7.992921959E-01  8.492241020E+01  5.420494830E-02 -1.699970407E-01  1.688211816E+01 -6.396227676E+01  7.894561133E+01  4.692313741E-01 -2.428529153E-01 -7.332199323E+01  1.267490501E+02  1.688211816E+01 -1.699970407E-01 

 1.111792196E+00  7.632078041E-01  8.272441862E+01  5.571430454E-02 -2.316131373E-01  1.645077561E+01 -5.943009724E+01  7.440636741E+01  2.962007909E-01 -3.308759104E-01 -6.716604163E+01  1.202050089E+02  1.645077561E+01 -2.316131373E-01 

 1.111792196E+00  7.992921959E-01  8.270171414E+01  6.554664967E-02 -3.671164284E-01  1.651631856E+01 -5.921279581E+01  7.438594590E+01  2.385759028E-01 -5.244520406E-01 -6.671560184E+01  1.203226365E+02  1.651631856E+01 -3.671164284E-01 

 1.075707804E+00  8.257078041E-01  8.489747208E+01  6.753251884E-02 -5.627015187E-01  1.706082538E+01 -6.376905459E+01  7.892242835E+01  4.692991579E-01 -8.038593124E-01 -7.287286986E+01  1.268952062E+02  1.706082538E+01 -5.627015187E-01 

 1.075707804E+00  8.617921959E-01  8.486169146E+01  7.957396979E-02 -6.906043885E-01  1.701921308E+01 -6.323411613E+01  7.888916595E+01  2.373105223E-01 -9.865776979E-01 -7.184078424E+01  1.271318107E+02  1.701921308E+01 -6.906043885E-01 

 1.111792196E+00  8.257078041E-01  8.268494714E+01  7.059898294E-02 -4.608424989E-01  1.648294423E+01 -5.897612765E+01  7.437086484E+01  1.299878295E-01 -6.583464270E-01 -6.626561745E+01  1.204201720E+02  1.648294423E+01 -4.608424989E-01 

 1.111792196E+00  8.617921959E-01  8.266690212E+01  7.079417098E-02 -4.293232667E-01  1.626469885E+01 -5.854494233E+01  7.435463427E+01 -1.369296691E-01 -6.133189524E-01 -6.550651887E+01  1.205528884E+02  1.626469885E+01 -4.293232667E-01 

 1.013207804E+00  8.882078041E-01  8.910639695E+01  7.881760385E-02 -1.311817297E+00  2.043470563E+01 -7.502582667E+01  8.794483876E+01  2.803976708E+00 -1.874024709E+00 -8.852701911E+01  1.396319125E+02  2.043470563E+01 -1.311817297E+00 

 1.013207804E+00  9.242921959E-01  8.893503821E+01  2.371092533E-01 -4.988645451E+00  2.226955442E+01 -6.821553555E+01  8.777571379E+01  7.066805226E-01 -7.126636358E+00 -7.422154808E+01  1.441662010E+02  2.226955442E+01 -4.988645451E+00 

 1.049292196E+00  8.882078041E-01  8.654845898E+01  1.037223665E-01 -2.158172762E+00  1.817949048E+01 -6.675609142E+01  8.248270530E+01  6.802228218E-01 -3.083103946E+00 -7.623134946E+01  1.327029660E+02  1.817949048E+01 -2.158172762E+00 

 1.049292196E+00  9.242921959E-01  8.653059245E+01  8.630853459E-02  5.289009422E-01  1.617180704E+01 -6.504758924E+01  8.246567808E+01 -8.641576499E-01  7.555727745E-01 -7.368499718E+01  1.328335771E+02  1.617180704E+01  5.289009422E-01 

 1.075707804E+00  8.882078041E-01  8.484224531E+01  8.192882638E-02 -8.371232612E-01  1.664917964E+01 -6.265125614E+01  7.887108840E+01 -1.557731573E-01 -1.195890373E+00 -7.084449654E+01  1.272867858E+02  1.664917964E+01 -8.371232612E-01 

 1.075707804E+00  9.242921959E-01  8.485037091E+01  6.286938946E-02  3.301662385E-01  1.588333318E+01 -6.210044709E+01  7.887864214E+01 -7.076618843E-01  4.716660550E-01 -7.006656610E+01  1.273041588E+02  1.588333318E+01  3.301662385E-01 

 1.111792196E+00  8.882078041E-01  8.266345527E+01  6.401245628E-02 -1.930597810E-01  1.600809606E+01 -5.822645389E+01  7.435153401E+01 -3.768318633E-01 -2.757996871E-01 -6.498137477E+01  1.206278083E+02  1.600809606E+01 -1.930597810E-01 

