example,regime,stabilization,nx,time_idx,l2_error,order
example1,mixed,none,32,0,0.0006214065030467568,
example1,mixed,none,32,71,0.0005512310105629525,
example1,mixed,none,32,142,0.0004852715842552029,
example1,mixed,none,32,214,0.0004251397525463075,
example1,mixed,none,32,285,0.00037192510216823915,
example1,mixed,none,32,357,0.0003238226836617188,
example1,mixed,none,32,428,0.00028187026507439796,
example1,mixed,none,32,500,0.0002444880650760055,
example1,mixed,none,64,428,7.046372998426996e-05,2.000078543070648
example1,mixed,none,64,357,8.09523784755167e-05,2.0000586751153318
example1,mixed,none,64,285,9.297895268203106e-05,2.00003604188569
example1,mixed,none,64,500,6.111791939500203e-05,2.0000967039089494
example1,mixed,none,64,142,0.00012131988351663219,1.9999763656892264
example1,mixed,none,64,71,0.00013781532451852594,1.9999207329759903
example1,mixed,none,64,0,0.00015535835673787367,1.9999374931832892
example1,mixed,none,64,214,0.00010628418913493205,2.0000101668663977
example1,mixed,none,128,500,1.525165993009908e-05,2.0026291628858304
example1,mixed,none,128,428,1.7583912509268638e-05,2.00262473251794
example1,mixed,none,128,285,2.3202654145824845e-05,2.002614331065629
example1,mixed,none,128,357,2.020137641867058e-05,2.0026198750156556
example1,mixed,none,128,142,3.0275367093760945e-05,2.0025996598437286
example1,mixed,none,128,71,3.43921313643625e-05,2.0025858878570144
example1,mixed,none,128,0,3.8769919560260824e-05,2.002590199318872
example1,mixed,none,128,214,2.6523057794443012e-05,2.0026079813179014
example1,mixed,none,256,428,4.2647458130199155e-06,2.043724451282402
example1,mixed,none,256,0,9.403180385521547e-06,2.0437170426133804
example1,mixed,none,256,71,8.341407454982469e-06,2.0437157891048283
example1,mixed,none,256,142,7.342918300010948e-06,2.0437189997150536
example1,mixed,none,256,214,6.4328334716405115e-06,2.0437208638154942
example1,mixed,none,256,285,5.627506007510538e-06,2.0437222474108117
example1,mixed,none,256,357,4.899580585799728e-06,2.0437234322458724
example1,mixed,none,256,500,3.6990864075788524e-06,2.0437253622964846
