                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0423,                0.55401,                0.99339,                0.95438,                0.97727,                0.97689,                0.72557,                0.78246,                0.67543,                0.87792,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.0664,                0.56244,                0.99864,                0.93416,                0.95455,                0.93353,                0.68559,                0.76389,                0.65694,                0.87857,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.0561,                0.56634,                 1.0004,                0.93279,                0.95455,                0.96008,                0.67827,                0.74801,                0.71324,                0.87636,              0.0013699,              0.0013699,              0.0013699
                     39,                0.95608,                 0.5397,                0.94154,                0.95598,                0.97727,                0.97132,                0.74115,                0.75919,                0.74712,                0.87358,              0.0013617,              0.0013617,              0.0013617
                     40,                0.96916,                0.53052,                0.95689,                0.95807,                0.97727,                0.97718,                0.75431,                 0.7714,                0.70147,                0.88178,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.0035,                0.52384,                0.97794,                0.95313,                0.97705,                0.97804,                0.71437,                0.75971,                0.73621,                0.88725,              0.0013452,              0.0013452,              0.0013452
                     42,                      1,                0.52417,                0.96667,                0.95668,                0.97727,                0.97646,                0.74519,                0.74645,                 0.6918,                0.87002,              0.0013369,              0.0013369,              0.0013369
                     43,                0.97043,                0.52784,                0.95192,                0.95327,                0.97553,                0.97069,                0.73575,                0.79527,                 0.6564,                0.87059,              0.0013287,              0.0013287,              0.0013287
                     44,                0.98616,                0.55393,                0.96111,                0.95865,                0.97727,                0.97647,                0.74061,                0.73414,                0.60215,                0.86202,              0.0013204,              0.0013204,              0.0013204
                     45,                0.98215,                0.53959,                0.96227,                0.95623,                0.97727,                0.97319,                0.72252,                 0.7784,                0.64621,                0.87105,              0.0013122,              0.0013122,              0.0013122
                     46,                0.99612,                0.54206,                0.97426,                0.95685,                0.97624,                0.97652,                0.76857,                0.72245,                0.64404,                0.87409,              0.0013039,              0.0013039,              0.0013039
                     47,                 0.9456,                0.51545,                0.94884,                0.95812,                0.97395,                 0.9698,                0.73698,                0.77671,                0.61388,                0.87651,              0.0012957,              0.0012957,              0.0012957
                     48,                0.99214,                0.52512,                0.95982,                0.96094,                0.97727,                0.95625,                0.71968,                0.75327,                0.63877,                0.87639,              0.0012874,              0.0012874,              0.0012874
                     49,                0.97688,                0.52549,                0.95827,                0.96018,                0.97727,                0.97855,                0.76684,                0.74098,                0.61731,                0.87123,              0.0012792,              0.0012792,              0.0012792
                     50,                0.96917,                0.53086,                0.95466,                0.95529,                0.97727,                0.97569,                0.75077,                0.77476,                0.64402,                0.88834,              0.0012709,              0.0012709,              0.0012709
                     51,                0.95673,                0.51638,                0.96334,                0.95456,                0.97727,                0.97612,                0.75251,                0.74648,                0.62759,                0.89218,              0.0012627,              0.0012627,              0.0012627
                     52,                0.97856,                0.53976,                0.97401,                0.95833,                0.97727,                0.97406,                0.74116,                0.73725,                0.69808,                0.88526,              0.0012544,              0.0012544,              0.0012544
                     53,                0.98555,                0.51417,                0.95561,                0.95681,                0.97727,                0.97037,                0.78136,                0.70244,                0.66573,                 0.8723,              0.0012462,              0.0012462,              0.0012462
                     54,                0.95131,                0.53249,                0.95469,                0.96296,                0.97727,                0.96447,                0.73566,                0.71228,                0.60734,                0.86399,              0.0012379,              0.0012379,              0.0012379
                     55,                0.99441,                0.53428,                0.96748,                0.95341,                0.97727,                0.97377,                0.71764,                0.78415,                0.59288,                0.87191,              0.0012297,              0.0012297,              0.0012297
                     56,                0.91814,                0.49241,                0.94602,                0.95268,                0.97727,                0.96923,                0.72477,                 0.7725,                0.69308,                0.87101,              0.0012214,              0.0012214,              0.0012214
                     57,                0.93574,                0.50743,                0.95966,                0.95502,                0.97727,                0.97322,                 0.7655,                0.69917,                0.61703,                0.87348,              0.0012132,              0.0012132,              0.0012132
                     58,                0.88737,                0.47662,                0.91558,                0.95964,                0.97727,                0.96629,                0.76905,                0.64342,                0.66801,                 0.8612,              0.0012049,              0.0012049,              0.0012049
                     59,                0.94758,                0.51403,                0.94009,                0.95809,                0.97727,                0.96144,                0.72703,                 0.7708,                0.67075,                0.88163,              0.0011967,              0.0011967,              0.0011967
                     60,                0.93242,                0.50747,                0.93965,                0.95682,                0.97727,                0.97685,                0.76546,                0.71582,                0.68633,                0.87422,              0.0011884,              0.0011884,              0.0011884
                     61,                0.92949,                0.50939,                0.94525,                0.95765,                0.97727,                  0.959,                0.69931,                 0.7405,                0.63236,                0.85851,              0.0011802,              0.0011802,              0.0011802
                     62,                0.90968,                0.48685,                0.93228,                0.95875,                0.97727,                 0.9649,                0.76775,                0.70018,                0.63128,                0.85649,              0.0011719,              0.0011719,              0.0011719
                     63,                0.93279,                  0.499,                0.94433,                 0.9529,                0.97727,                0.97254,                0.75646,                 0.7446,                0.72232,                0.87369,              0.0011636,              0.0011636,              0.0011636
                     64,                0.92413,                0.49092,                0.95343,                0.95843,                0.97727,                0.97171,                0.74153,                 0.7446,                0.65131,                0.86953,              0.0011554,              0.0011554,              0.0011554
                     65,                0.92056,                 0.4994,                0.95203,                0.95981,                0.97727,                0.96412,                0.74084,                0.71468,                0.62768,                0.86532,              0.0011471,              0.0011471,              0.0011471
                     66,                0.94225,                0.50335,                0.95209,                0.95863,                0.97727,                0.97584,                0.73478,                0.76301,                0.62592,                0.87196,              0.0011389,              0.0011389,              0.0011389
                     67,                0.96192,                 0.5089,                0.95111,                0.95579,                0.97459,                0.97444,                0.75315,                0.70585,                0.61303,                0.85703,              0.0011306,              0.0011306,              0.0011306
                     68,                0.94201,                0.49336,                0.93266,                0.95878,                0.97466,                0.97594,                0.75288,                0.72535,                0.63628,                0.85452,              0.0011224,              0.0011224,              0.0011224
                     69,                0.92417,                0.48756,                0.93932,                0.95879,                0.97727,                0.97086,                 0.7288,                0.77844,                0.64546,                0.87234,              0.0011141,              0.0011141,              0.0011141
