x,t_0.00,t_0.14,t_0.28,t_0.43,t_0.57,t_0.71,t_0.86,t_1.00
0.0,0.018315638888734213,1.000000000000002,1.0000000000000024,1.0000000000000018,1.0000000000000018,1.0000000000000016,1.0000000000000018,1.0000000000000024
0.0078125,0.024882176982932377,1.0916137216972273,1.1033121409486863,1.1062006551261856,1.1069029728289452,1.1070794105266855,1.1071223233700533,1.1071331040814671
0.015625,0.03339283034071411,1.1839982957498512,1.2073877890187295,1.2131630933925845,1.2145673100264736,1.2149200802190168,1.2150058803185013,1.2150274353132122
0.0234375,0.04427072566265883,1.2773060345297715,1.3123718452186541,1.3210304752284012,1.3231357492132478,1.3236646404805585,1.323793276414993,1.3238255927747986
0.03125,0.05798005250025452,1.371691827184419,1.4184117979616018,1.4299485505517964,1.4327536180032847,1.433458312834927,1.4336297073800466,1.4336727657044042
0.0390625,0.07501344681686398,1.467303722580439,1.5256483113554629,1.5400562481112487,1.543559423599707,1.5444394985854597,1.5446535487602606,1.5447073231779291
0.046875,0.09587341393331303,1.564270482833747,1.6342027840632933,1.6514732353952817,1.6556724129584222,1.6567273390426762,1.6569839161712905,1.6570483743558788
0.0546875,0.12104749791909948,1.662686122493593,1.7441618937963026,1.7642844641722082,1.7691771185811955,1.7704062613809959,1.7707052111700456,1.7707803143594432
0.0625,0.15097741845591506,1.7625917437118441,1.8555594377652886,1.8785220119851245,1.8841052002632335,1.8855078204497653,1.885848963081145,1.8859346661008325
0.0703125,0.1860230356001034,1.8639553297706677,1.9683561314584264,1.9941448819694436,2.0004152451623636,2.001990498905659,2.002373629144699,2.0024698804349184
0.078125,0.22642272494309837,1.9666505420721598,2.0824184108437467,2.111017806090628,2.1179715712873737,2.119718510763967,2.120143398082901,2.1202501397296785
0.0859375,0.2722524847129612,2.070435941484549,2.197497658885734,2.2288904726909666,2.236523455294166,2.2384410292573937,2.2389074179740676,2.239024585744059
0.09375,0.3233867673375054,2.1749363769939816,2.3132115993199784,2.3473789212886604,2.3556865275328547,2.3577735819454615,2.358281191377194,2.3584087147563353
0.1015625,0.3794645341647093,2.2796285014204747,2.4290298174394107,2.4659510643821405,2.4749282940985906,2.4771835728272507,2.4777320974597523,2.4778698996956985
0.109375,0.4398642763478836,2.383832435622158,2.5442654293113383,2.5839183576782143,2.593559807304536,2.595981952875879,2.596571062547135,2.596719060695455
0.1171875,0.5036916439913184,2.4867114683905513,2.6580747866231276,2.7004355059412686,2.710735371774079,2.713322926191777,2.713952266290771,2.7141103712648693
0.125,0.5697828247309241,2.5872813253168583,2.769466750431806,2.814509737738164,2.825461819426819,2.8282132250492045,2.828882416729378,2.829050533354127
0.1328125,0.636725899148697,2.6844299661330653,2.877322493316686,2.9250206085773787,2.9366183128566425,2.9395319133343776,2.940240553741683,2.9404185808107113
0.140625,0.7029011121997463,2.776948104274888,2.9804260236775346,3.030750526184237,3.0429868708436816,3.0460609121168845,3.0468085746323026,3.0469964049689175
