example,regime,stabilization,nx,time_idx,l2_error,order
example2,mixed,none,32,0,0.005396583828336038,
example2,mixed,none,32,71,0.0421293582005631,
example2,mixed,none,32,142,0.04643253818351541,
example2,mixed,none,32,214,0.048202175419562995,
example2,mixed,none,32,285,0.049043881084697316,
example2,mixed,none,32,357,0.049503543851219224,
example2,mixed,none,32,428,0.04976747910144533,
example2,mixed,none,32,500,0.049935848682563656,
example2,mixed,none,64,428,0.012474444336201476,1.9962277579302203
example2,mixed,none,64,357,0.012408570337769818,1.9961949043836595
example2,mixed,none,64,285,0.012293874309353985,1.9961335107648532
example2,mixed,none,64,500,0.012516481855991118,1.996246785441372
example2,mixed,none,64,142,0.011642347114739444,1.9957542093298475
example2,mixed,none,64,71,0.010568417131254705,1.9950666225988785
example2,mixed,none,64,0,0.0013596629891850518,1.9887973300461477
example2,mixed,none,64,214,0.012083876105825937,1.996014960891568
example2,mixed,none,128,500,0.0031254582767062697,2.001689456721894
example2,mixed,none,128,428,0.0031149715823440135,2.001684646515719
example2,mixed,none,128,285,0.003069931692132879,2.0016611801563573
example2,mixed,none,128,357,0.003098539953028866,2.001676428047384
example2,mixed,none,128,142,0.0029074257719247437,2.00156767252944
example2,mixed,none,128,71,0.0026395437389659104,2.0013988377057035
example2,mixed,none,128,0,0.0003399637094700381,1.9997964498274459
example2,mixed,none,128,214,0.0030175538454306552,2.001631877649407
example2,mixed,none,256,428,0.0007556192083732712,2.0434877200782164
example2,mixed,none,256,0,8.249449323282298e-05,2.0430110261673904
example2,mixed,none,256,71,0.0006403236995739093,2.0434152597095783
example2,mixed,none,256,142,0.0007052879536260122,2.043458055732441
example2,mixed,none,256,214,0.0007319947400399101,2.0434743279994567
example2,mixed,none,256,285,0.0007446966620001582,2.043481759104899
example2,mixed,none,256,357,0.0007516343684585767,2.043485630185452
example2,mixed,none,256,500,0.0007581623907145498,2.0434889461024417
