x,t_0.00,t_0.28,t_0.57,t_0.86,t_1.14,t_1.43,t_1.71,t_2.00
0.0,3.726653172078705e-06,2.4686288037704247e-06,2.6130111034608905e-06,2.768068673630464e-06,2.9299806280835534e-06,3.103847351017674e-06,3.2853999243749735e-06,3.4803574312280814e-06
0.03125,1.693161243613007e-05,2.453327471833692e-06,2.5967273669788974e-06,2.750818649469795e-06,2.911721602537587e-06,3.084504824473366e-06,3.264926000222406e-06,3.4586685727295697e-06
0.0625,6.976957719599735e-05,2.4385250177406757e-06,2.580545114141673e-06,2.7336761238465434e-06,2.893576363414199e-06,3.0652828365029018e-06,3.2445796652765872e-06,3.4371148746541653e-06
0.09375,0.0002607487846688278,2.425961070042367e-06,2.5644637427126403e-06,2.7166404268528985e-06,2.8755442016202322e-06,3.0461806359351323e-06,3.2243601244283083e-06,3.415695494710418e-06
0.125,0.0008838263069350535,2.4242004556973975e-06,2.5484827784227302e-06,2.6997108927581134e-06,2.8576244124814607e-06,3.0271974762800623e-06,3.204266587523306e-06,3.394409595855877e-06
0.15625,0.002717064729323592,2.473049083209575e-06,2.5326023553870677e-06,2.6828868599917647e-06,2.839816295715035e-06,3.008332615699661e-06,3.1842982693314064e-06,3.3732563462643465e-06
0.1875,0.007575677444259954,2.7471565502182595e-06,2.5168254597414095e-06,2.6661676711625784e-06,2.8221191554021265e-06,2.9895853169788662e-06,3.1644543895158125e-06,3.352234919293408e-06
0.21875,0.019157171837129186,3.9707643304286564e-06,2.5011680776682455e-06,2.649552673242713e-06,2.8045322999607306e-06,2.9709548474968003e-06,3.1447341726026385e-06,3.3313444934520976e-06
0.25,0.043936933623407545,8.92847597625074e-06,2.4857036564616705e-06,2.6330412185069702e-06,2.787055042118664e-06,2.952440479198118e-06,3.125136847950572e-06,3.3105842523688153e-06
0.28125,0.0913937553560475,2.724216348510589e-05,2.4707516463403915e-06,2.616632668845077e-06,2.769686698886834e-06,2.934041488564559e-06,3.105661649720786e-06,3.2899533847594245e-06
0.3125,0.1724216238937533,8.879273549869407e-05,2.4576501266147197e-06,2.6003264148258036e-06,2.7524265915330663e-06,2.9157571565866835e-06,3.086307816846992e-06,3.2694510843955375e-06
0.34375,0.29502265617444356,0.0002787614217580299,2.4518076630423922e-06,2.5841219578957398e-06,2.7352740455579123e-06,2.897586768735768e-06,3.067074593005716e-06,3.249076550072998e-06
