x,t_0.00,t_0.28,t_0.57,t_0.86,t_1.14,t_1.43,t_1.71,t_2.00
0.0,3.7266531720786836e-06,4.116011128240029e-06,4.35676611568615e-06,4.615297137210475e-06,4.885256515285433e-06,5.17514822022636e-06,5.477854579848197e-06,5.802911124699435e-06
0.0078125,5.490854006436889e-06,4.109583593606304e-06,4.349962619721822e-06,4.608089920983255e-06,4.877627732352424e-06,5.167066744403193e-06,5.469300399858367e-06,5.793849338647594e-06
0.015625,8.04100058818522e-06,4.103166096166948e-06,4.343169748049942e-06,4.600893959495262e-06,4.870010862474312e-06,5.158997888557019e-06,5.460759578017099e-06,5.784801703418453e-06
0.0234375,1.1703872122021591e-05,4.096758620249969e-06,4.336387484079686e-06,4.593709235171175e-06,4.862405887047746e-06,5.150941632980569e-06,5.452232093464408e-06,5.775768196914178e-06
0.03125,1.6931612436130036e-05,4.090361150214313e-06,4.329615811246144e-06,4.586535730463118e-06,4.854812787498438e-06,5.142897957997353e-06,5.443717925372872e-06,5.76674879707146e-06
0.0390625,2.434536817263553e-05,4.083973670468571e-06,4.3228547130102644e-06,4.5793734278506125e-06,4.847231545281098e-06,5.134866843961599e-06,5.435217052947593e-06,5.75774348186142e-06
0.046875,3.4792341012638946e-05,4.0775961655396295e-06,4.31610417285883e-06,4.572222309840544e-06,4.839662141879398e-06,5.126848271258217e-06,5.426729455426156e-06,5.748752229289601e-06
0.0546875,4.941971458012689e-05,4.071228620314057e-06,4.309364174304409e-06,4.565082358967117e-06,4.832104558805925e-06,5.118842220302751e-06,5.41825511207856e-06,5.73977501739588e-06
0.0625,6.976957719599731e-05,4.0648710208539305e-06,4.302634700885319e-06,4.557953557791807e-06,4.824558777602138e-06,5.110848671541325e-06,5.409794002207182e-06,5.730811824254433e-06
0.0703125,9.789966964829646e-05,4.0585233570487596e-06,4.295915736165581e-06,4.550835888903323e-06,4.817024779838315e-06,5.102867605450601e-06,5.401346105146708e-06,5.721862627973678e-06
0.078125,0.00013653551674503938,4.052185630908217e-06,4.289207263734878e-06,4.543729334917556e-06,4.80950254711352e-06,5.094899002537722e-06,5.392911400264112e-06,5.712927406696201e-06
0.0859375,0.0001892602141613792,4.045857881497044e-06,4.282509267208524e-06,4.5366338784775565e-06,4.801992061055542e-06,5.086942843340274e-06,5.384489866958575e-06,5.70400613859874e-06
0.09375,0.0002607487846688273,4.039540256970055e-06,4.275821730227426e-06,4.529549502253472e-06,4.794493303320877e-06,5.0789991084262496e-06,5.376081484661455e-06,5.695098801892106e-06
0.1015625,0.00035705452015902126,4.033233214297644e-06,4.269144636458025e-06,4.522476188942516e-06,4.787006255594653e-06,5.071067778393961e-06,5.3676862328362285e-06,5.686205374821137e-06
0.109375,0.00048595499985097386,4.0269380500442025e-06,4.2624779695922745e-06,4.515413921268916e-06,4.7795308995906015e-06,5.0631488338720326e-06,5.35930409097844e-06,5.67732583566464e-06
