example,regime,stabilization,nx,time_idx,l2_error,order
example1,mixed,streamline,32,0,0.0006214065030467568,
example1,mixed,streamline,32,71,0.0007026739390925818,
example1,mixed,streamline,32,142,0.0007663579368253049,
example1,mixed,streamline,32,214,0.0007963397182834834,
example1,mixed,streamline,32,285,0.0008013089970166566,
example1,mixed,streamline,32,357,0.0007899495969919348,
example1,mixed,streamline,32,428,0.0007678759609295113,
example1,mixed,streamline,32,500,0.0007379051375731943,
example1,mixed,streamline,64,428,0.00031187867707324304,1.2998883635627538
example1,mixed,streamline,64,357,0.0003161627572696211,1.3210931706703548
example1,mixed,streamline,64,285,0.0003144172860681492,1.3496781387959917
example1,mixed,streamline,64,500,0.00030335923596101847,1.2824081247385954
example1,mixed,streamline,64,142,0.00027643538622667066,1.4710760723358631
example1,mixed,streamline,64,71,0.00022471930118796589,1.6447313493807136
example1,mixed,streamline,64,0,0.00015535835673787367,1.9999374931832892
example1,mixed,streamline,64,214,0.00030336371039823103,1.3923355004976035
example1,mixed,streamline,128,500,0.00012189519215059232,1.3153860121878418
example1,mixed,streamline,128,428,0.0001246233726868344,1.3234102537813957
example1,mixed,streamline,128,285,0.0001237426765359111,1.3453373917402143
example1,mixed,streamline,128,357,0.00012551441853831432,1.3328143298109492
example1,mixed,streamline,128,142,0.00010427873015470327,1.406497385747616
example1,mixed,streamline,128,71,7.786208620745713e-05,1.529131137875514
example1,mixed,streamline,128,0,3.8769919560260824e-05,2.002590199318872
example1,mixed,streamline,128,214,0.00011778235025140894,1.364925148117571
example1,mixed,streamline,256,428,4.016402614086464e-05,1.633598865299529
example1,mixed,streamline,256,0,9.403180385521547e-06,2.0437170426133804
example1,mixed,streamline,256,71,2.3691552897736703e-05,1.7165482349822028
example1,mixed,streamline,256,142,3.292073240726571e-05,1.663376582067389
example1,mixed,streamline,256,214,3.758025790480225e-05,1.6480764939421866
example1,mixed,streamline,256,285,3.966461013528606e-05,1.6414188708092965
example1,mixed,streamline,256,357,4.035305567254624e-05,1.637103275491219
example1,mixed,streamline,256,500,3.9373387696792676e-05,1.6303484707847837
